cpu,new_egg_price,best_buy_price
100-100000065BOX,321.5,259.99
100-100000063WOF,349.97,359.99
BX8071512700K,374.98,419.99
100-100000061WOF,552.99,499.99
BX8071512900K,616.99,619.99
BX8070811700K,349.99,419.99
BX8071512600K,284.98,299.99
BX8070811600K,249.99,263.99
100-100000263BOX,308.97,309.99
100-100000059WOF,684.97,714.99
BX8070811900K,489.99,549.99
BX8070811400,182.18,189.99
BX8070110400,156.99,164.99
BX8071512700KF,389.98,409.99
BX8071512400,208.99,209.99
BX8070110900K,479,467.99
BX8071512400F,199.99,179.99
BX8070110100,114.93,114.99
BX8071512900KF,615.99,589.99
BX8070811700,329.97,339.99
